id	word_id	rel_word_id	relation
14875	96	1423	related
14873	96	1587	related
14870	96	1754	related
14874	96	2560	related
14868	96	6636	related
98741	98	95	related
48564	99	443	related
48565	99	471	related
48566	99	1013	related
48546	99	1203	related
48569	99	1495	related
48547	99	1727	related
48544	99	1874	related
48568	99	4499	related
48562	99	5328	related
48555	99	7573	related
48553	99	8898	related
48542	99	9092	related
48541	99	9589	related
48550	99	9892	related
48558	99	10997	related
48556	99	11278	related
48548	99	12624	related
48557	99	14627	related
48567	99	16224	related
48559	99	17658	related
48545	99	20776	related
48549	99	22092	related
48552	99	28211	related
48538	99	36211	related
48543	99	44106	related
48561	99	44110	related
48539	99	52276	related
48560	99	54441	related
48563	99	56725	related
12274	100	466	related
12272	100	1669	related
12271	100	32348	related
12273	100	32883	related
46090	104	312	synonym
46089	104	514	synonym
46087	104	6068	related
46088	104	8820	related
30470	106	508	synonym
30466	106	660	related
30467	106	4340	related
30469	106	5091	related
30464	106	35579	related
30465	106	41092	related
30468	106	41095	related
47845	109	666	synonym
47846	109	2206	synonym
47844	109	2356	synonym
47843	109	3832	synonym
47842	109	5988	related
47840	109	7796	related
47839	109	56634	related
47841	109	56635	related
29435	110	413	related
29434	110	1269	related
29436	110	3477	related
29427	110	15471	related
29431	110	17439	related
29433	110	20746	related
29429	110	22778	related
29432	110	23915	related
29430	110	32154	related
29428	110	40556	related
32749	114	2080	related
32744	114	5064	related
32743	114	11011	related
32741	114	11566	related
32745	114	13476	related
32752	114	14434	related
32742	114	15022	related
32748	114	24052	related
32753	114	24259	related
32751	114	28419	related
32750	114	31306	related
32746	114	42889	related
32747	114	42890	related
53383	116	154	related
53381	116	5263	related
53382	116	7348	related
53387	116	23425	related
53380	116	54027	related
53384	116	57794	related
53385	116	57795	related
53386	116	57796	related
53388	116	57797	related
13406	117	81	related
13405	117	324	related
13431	117	1720	related
13420	117	2673	related
13401	117	3505	related
13430	117	3878	related
13419	117	5327	related
13403	117	5619	related
13421	117	8683	related
13416	117	10091	related
13407	117	10781	related
13417	117	11456	related
13426	117	11821	related
13429	117	12777	related
13402	117	13477	related
13400	117	15426	related
13434	117	17476	related
13418	117	18206	related
13433	117	19535	related
13404	117	19745	related
13427	117	22130	related
13435	117	23909	related
13424	117	45338	related
13398	117	52176	related
13399	117	52177	related
13408	117	52178	related
13422	117	52180	related
13425	117	52181	related
13428	117	52182	related
13432	117	52183	related
48536	120	185	related
48534	120	5006	related
48535	120	14516	related
46423	121	204	related
46411	121	1653	related
46419	121	2731	related
46427	121	3017	related
46402	121	4935	related
46433	121	5679	related
46396	121	6186	related
46437	121	6391	related
46412	121	6620	related
46426	121	7612	related
46406	121	7772	related
46414	121	8215	related
46420	121	8232	related
46409	121	8384	related
46425	121	8591	related
46436	121	9895	related
46408	121	10175	related
46410	121	11164	related
46397	121	11481	related
46421	121	11950	related
46435	121	12357	related
46407	121	12654	related
46424	121	13707	related
46428	121	14660	related
46441	121	15335	related
46434	121	15394	related
46403	121	15422	related
46415	121	16004	related
46438	121	16628	related
46429	121	18489	related
46440	121	19622	related
46417	121	21110	related
46416	121	21413	related
46405	121	21629	related
46422	121	23039	related
46418	121	23910	related
46431	121	23920	related
46432	121	24603	related
46413	121	25074	related
46398	121	25804	related
46404	121	27861	related
46439	121	29947	related
46395	121	31727	related
46399	121	38287	related
46400	121	38288	related
46401	121	41706	related
46430	121	41707	related
25388	122	137	related
25387	122	139	related
25375	122	370	related
25389	122	444	related
25382	122	1138	related
25391	122	1273	related
25377	122	1325	related
25376	122	2622	related
25378	122	2920	related
25374	122	3240	related
25386	122	11675	related
25373	122	12162	related
25390	122	16581	related
25383	122	19547	related
25379	122	20992	related
25381	122	24009	related
25380	122	25498	related
25385	122	28172	related
25384	122	52444	related
37967	124	1480	related
45384	125	874	related
45386	125	8270	related
45387	125	17916	related
45385	125	25349	related
32759	127	6942	related
32754	127	18492	related
32756	127	28117	related
32758	127	28856	related
32757	127	43438	related
32755	127	54163	related
11747	128	67	related
11748	128	2479	related
11760	128	5826	related
11743	128	8767	related
11751	128	10252	related
11755	128	12528	related
11740	128	13242	related
11737	128	14235	related
11749	128	14568	related
11754	128	14867	related
11730	128	15696	related
11758	128	16310	related
11746	128	17720	related
11757	128	19687	related
11753	128	20058	related
11745	128	20190	related
11756	128	27439	related
11731	128	28583	related
11741	128	29768	related
11729	128	31409	related
11744	128	36044	related
11732	128	37966	related
11734	128	42988	related
11736	128	43955	related
11738	128	45322	related
11739	128	46315	related
11742	128	47309	related
11761	128	48440	related
11733	128	51824	related
11735	128	51825	related
11750	128	51826	related
11752	128	51827	related
11759	128	51828	related
41516	132	179	related
41519	132	383	synonym
41517	132	641	related
41518	132	1342	related
41514	132	18521	related
41515	132	28679	related
35690	133	1926	related
35692	133	3437	related
35694	133	10262	synonym
35691	133	14333	related
35693	133	15997	related
35695	133	26777	synonym
32920	135	505	synonym
32918	135	2957	related
32919	135	3147	related
3206	137	1168	related
3207	137	2961	related
3204	137	11967	related
3205	137	32439	related
37928	139	2622	related
37929	139	17709	related
11538	140	2252	related
11537	140	6155	related
27497	143	138	related
27501	143	260	related
27496	143	1102	related
27500	143	3104	related
27499	143	3407	related
27498	143	5012	related
10648	144	1148	related
10647	144	2452	related
10649	144	4466	related
10652	144	6921	related
10650	144	11504	related
10651	144	36711	related
32123	146	541	related
32121	146	993	related
32124	146	1029	related
32122	146	5534	related
10512	147	810	synonym
10507	147	6659	related
10510	147	8980	related
10511	147	21179	related
10509	147	21453	related
10506	147	25001	related
10508	147	51572	related
53799	148	3458	related
53800	148	27616	related
53801	148	32369	related
53802	148	57919	related
14417	153	2006	related
14414	153	4414	related
14412	153	4987	related
14415	153	8002	related
14410	153	8322	related
14404	153	11031	related
14413	153	13816	related
14411	153	19253	related
14406	153	30892	related
14405	153	38474	related
14407	153	38476	related
14408	153	38483	related
14409	153	52317	related
14416	153	52318	related
45391	156	426	related
45390	156	7878	related
45389	156	11135	related
45388	156	18365	related
3556	157	987	related
3557	157	5303	related
3560	157	7093	related
3558	157	20431	related
3559	157	21512	related
4197	158	893	related
4196	158	1245	related
11303	161	550	related
11302	161	729	related
11291	161	919	related
11307	161	926	related
11299	161	1265	related
11306	161	1504	related
11281	161	1598	related
11278	161	1846	related
11300	161	1991	related
11308	161	2134	related
11279	161	2153	related
11258	161	2225	related
11314	161	2227	related
11261	161	2332	related
11267	161	2402	related
11321	161	2654	related
11325	161	2710	related
11284	161	3009	related
11310	161	3078	related
11276	161	3436	related
11311	161	3507	related
11273	161	3590	related
11275	161	3651	related
11277	161	3948	related
11289	161	4236	related
11256	161	4599	related
11297	161	4648	related
11317	161	4650	related
11270	161	5115	related
11301	161	5181	related
11324	161	5412	related
11265	161	5486	related
11295	161	5512	related
11318	161	5588	related
11268	161	6662	related
11294	161	7815	related
11312	161	7923	related
11274	161	8331	related
11298	161	8586	related
11259	161	8803	related
11304	161	9204	related
11280	161	9773	related
11272	161	10620	related
11282	161	11875	related
11288	161	11999	related
11262	161	12174	related
11271	161	12282	related
11313	161	12613	related
11266	161	13588	related
11257	161	13701	related
11264	161	14097	related
11323	161	14707	related
11293	161	15369	related
11315	161	16011	related
11285	161	16447	related
11319	161	17220	related
11292	161	17349	related
11296	161	19968	related
11320	161	20656	related
11309	161	20883	related
11283	161	21554	related
11286	161	21981	related
11316	161	22329	related
11269	161	27269	related
11287	161	31293	related
11260	161	31742	related
11305	161	35674	related
11263	161	42207	related
11290	161	51730	related
11322	161	51731	related
46196	162	478	related
46195	162	2051	related
46194	162	2391	related
30178	166	2077	synonym
30729	167	1030	related
30730	167	2025	related
30726	167	4939	related
30734	167	14179	related
30727	167	14698	related
30731	167	18660	related
30733	167	21494	related
30728	167	41256	related
30732	167	53857	related
32899	168	952	related
32896	168	3172	related
32898	168	9062	related
32897	168	13227	related
13263	169	409	related
13262	169	1121	related
34261	170	1352	related
34262	170	1815	related
34260	170	54358	related
4464	174	795	related
3208	175	94	related
3209	175	3873	related
34445	176	2344	related
34443	176	5342	related
34440	176	5464	related
34441	176	5843	related
34447	176	12531	related
34448	176	17495	related
34446	176	18254	related
34444	176	19126	related
34442	176	32966	related
3940	177	12430	related
3941	177	51221	related
11525	178	729	related
11524	178	4236	related
11522	178	4599	related
11521	178	9773	related
11523	178	21554	related
41579	179	132	related
41581	179	641	related
41580	179	1342	related
41546	179	2632	related
41525	179	3791	related
41560	179	4032	related
41584	179	4451	related
41556	179	5282	related
41572	179	5335	related
41562	179	5557	related
41568	179	5952	related
41552	179	6104	related
41558	179	8345	related
41538	179	9160	related
41587	179	11432	related
41531	179	11834	related
41582	179	11870	related
41574	179	13206	related
41540	179	13323	related
41537	179	13694	related
41522	179	17849	related
41539	179	21072	related
41543	179	21920	related
41564	179	22243	related
41554	179	22569	related
41559	179	23303	related
41548	179	25233	related
41577	179	25674	related
41566	179	26262	related
41536	179	27109	related
41585	179	27416	related
41573	179	27423	related
41533	179	28928	related
41544	179	29382	related
41530	179	30442	related
41570	179	33075	related
41523	179	37490	related
41524	179	37491	related
41526	179	38245	related
41549	179	41870	related
41571	179	42233	related
41534	179	44811	related
41535	179	46465	related
41586	179	47112	related
41541	179	49346	related
41520	179	55550	related
41527	179	55551	related
41528	179	55552	related
41532	179	55553	related
41545	179	55554	related
41547	179	55555	related
41551	179	55556	related
41553	179	55557	related
41555	179	55558	related
41557	179	55559	related
41561	179	55560	related
41563	179	55561	related
41565	179	55562	related
41567	179	55563	related
41569	179	55564	related
41575	179	55565	related
41576	179	55566	related
41578	179	55567	related
41583	179	55568	related
33692	180	141	related
33696	180	1587	synonym
33694	180	3699	synonym
33695	180	5278	synonym
33689	180	12682	related
33691	180	20391	related
33690	180	54279	related
48269	184	315	related
48280	184	612	related
48278	184	1223	related
48281	184	1552	related
48271	184	2205	related
48277	184	3043	related
48276	184	5252	related
48270	184	5842	related
48267	184	7807	related
48279	184	8077	related
48268	184	8131	related
48275	184	8153	related
48282	184	20706	related
48274	184	31028	related
48265	184	35943	related
48266	184	39031	related
48273	184	55073	related
48272	184	56676	related
48588	185	120	related
48589	185	500	synonym
48590	185	4340	synonym
48587	185	49526	related
34321	188	401	related
34323	188	2156	related
34322	188	3231	related
3773	190	450	related
3772	190	1663	related
3774	190	2064	related
3776	190	9464	related
3775	190	13180	related
98911	193	624	related
98913	193	3142	related
98915	193	4202	related
98916	193	5129	related
98917	193	5329	related
98918	193	7847	related
98919	193	11119	related
14669	194	962	related
14670	194	1070	related
14673	194	1321	related
14675	194	1321	synonym
14672	194	5001	related
14674	194	6999	related
14671	194	11590	related
1306	195	2886	related
1301	195	5618	related
1304	195	9832	related
1309	195	29231	related
1303	195	29813	related
1302	195	34590	related
1305	195	34597	related
1307	195	34609	related
1308	195	34610	related
1310	195	45206	related
10030	196	92	related
10035	196	531	synonym
10037	196	1394	synonym
10034	196	3405	synonym
10033	196	3730	synonym
10031	196	5239	synonym
10036	196	24275	synonym
10032	196	32386	synonym
50081	199	12141	related
50082	199	15151	related
50080	199	23330	related
50083	199	27542	related
50079	199	57041	related
13189	201	801	related
13197	201	1233	related
13198	201	1739	related
13193	201	2004	related
13188	201	2639	related
13191	201	7016	related
13196	201	10972	related
13192	201	11330	related
13195	201	11586	related
13187	201	14186	related
13194	201	19230	related
13190	201	21237	related
38726	203	17	synonym
38727	203	202	synonym
38725	203	278	related
38723	203	749	related
38720	203	4724	related
38724	203	6393	related
38721	203	8671	related
38722	203	10357	related
53856	208	1772	related
53855	208	2478	related
53854	208	10878	related
31655	210	96	related
31653	210	1294	related
31654	210	1587	related
12343	211	283	synonym
12342	211	4764	related
12344	211	21540	synonym
13251	213	1584	related
13250	213	2306	related
13249	213	5358	related
13252	213	8234	related
28775	215	6633	related
28779	215	7373	related
28780	215	7415	related
28783	215	9635	related
28781	215	11378	related
28787	215	15827	related
28768	215	19520	related
28786	215	21739	related
28777	215	21856	related
28767	215	24838	related
28784	215	28329	related
28772	215	29031	related
28789	215	30476	related
28788	215	31138	related
28769	215	36094	related
28774	215	41786	related
28778	215	44704	related
28770	215	53408	related
28771	215	53409	related
28773	215	53410	related
28776	215	53411	related
28782	215	53412	related
28785	215	53413	related
33700	216	7973	related
30131	218	313	synonym
30134	218	4918	synonym
30128	218	6060	related
30132	218	6822	synonym
30130	218	13863	related
30133	218	17937	synonym
30126	218	21744	related
30127	218	22721	related
30129	218	24409	related
30135	218	27194	synonym
30136	218	29520	synonym
30137	218	47964	synonym
43241	219	572	related
43239	219	2045	related
43240	219	2870	related
43242	219	3672	related
37768	220	444	synonym
37766	220	720	related
37767	220	964	related
37760	220	2526	related
37765	220	3884	related
37759	220	6966	related
37762	220	8200	related
37757	220	8692	related
37761	220	10141	related
37758	220	22474	related
37764	220	38125	related
37763	220	54950	related
98722	221	217	related
98723	221	747	related
98724	221	2685	related
98725	221	7719	related
98726	221	10038	related
98727	221	17254	related
98728	221	26630	related
98729	221	31448	related
98730	221	53922	related
98731	221	53923	synonym
98732	221	53924	synonym
98733	221	53925	synonym
98734	221	53926	synonym
36269	222	323	related
36268	222	546	related
36282	222	1356	related
36252	222	1700	related
36250	222	1836	related
36264	222	1942	related
36253	222	1957	related
36255	222	2487	related
36266	222	2939	related
36249	222	4878	related
36245	222	5201	related
36281	222	6461	related
36262	222	6587	related
36242	222	6679	related
36279	222	7144	related
36274	222	7516	related
36276	222	8042	related
36260	222	8240	related
36278	222	9031	related
36272	222	9549	related
36280	222	9864	related
36247	222	10180	related
36241	222	10465	related
36251	222	11259	related
36271	222	12186	related
36265	222	13521	related
36261	222	14553	related
36270	222	15290	related
36273	222	16889	related
36248	222	17732	related
36244	222	19251	related
36246	222	21432	related
36267	222	21982	related
36263	222	24216	related
36254	222	28166	related
36277	222	28361	related
36258	222	29934	related
36275	222	32011	related
36257	222	43666	related
36259	222	44047	related
36243	222	54672	related
51696	223	4293	related
2935	224	4954	synonym
32342	226	31	related
32343	226	145	synonym
49252	229	49750	related
49251	229	56848	related
27385	230	15653	related
52428	231	80	related
52430	231	168	related
52429	231	233	related
52426	231	2376	related
52427	231	31430	related
3038	233	2362	related
3039	233	8086	related
3041	233	18159	related
3040	233	35398	related
3036	233	35399	related
3037	233	35400	related
3042	233	51074	related
44969	234	536	related
44967	234	556	related
44966	234	2059	related
44968	234	6080	related
44970	234	7040	related
12666	235	2327	related
12676	235	4418	related
12675	235	6295	related
12664	235	6973	related
12661	235	9264	related
12672	235	17126	related
12668	235	17419	related
12659	235	18514	related
12671	235	18770	related
12660	235	19209	related
12665	235	19214	related
12663	235	20842	related
12667	235	23066	related
12673	235	25031	related
12662	235	36935	related
12670	235	37645	related
12674	235	40768	related
12669	235	52000	related
26840	236	1435	related
26835	236	39579	related
26837	236	39581	related
26838	236	39588	related
26839	236	39589	related
26836	236	52800	related
26841	236	52801	related
36584	237	10162	related
36581	237	13192	related
36582	237	15494	related
36580	237	41852	related
36583	237	54757	related
37493	241	715	related
37491	241	2536	related
37494	241	5322	related
37490	241	14025	related
37885	242	338	related
37887	242	1746	related
37886	242	1804	related
37888	242	5032	related
37889	242	54979	related
31888	244	1286	related
31887	244	40662	related
3145	246	3362	synonym
44151	247	247	related
44152	247	1048	related
44150	247	56014	related
25813	249	1309	related
25812	249	4071	related
37621	250	1196	related
37622	250	6744	related
37619	250	7833	related
37623	250	8741	related
37620	250	19812	related
51547	251	1115	related
51546	251	21097	related
1919	253	2951	related
1917	253	6401	related
1914	253	9120	related
1915	253	20297	related
1918	253	22746	related
1916	253	24290	related
1920	253	24859	related
1921	253	50834	related
39665	254	96	related
39682	254	164	related
39666	254	174	related
39676	254	210	related
39693	254	267	related
39687	254	329	related
39683	254	362	related
39667	254	397	related
39689	254	472	related
39686	254	557	related
39694	254	664	related
39664	254	823	related
39668	254	1113	related
39696	254	1346	synonym
39681	254	1423	related
39677	254	1587	related
39679	254	1638	related
39680	254	1680	related
39672	254	1754	related
39695	254	1768	synonym
39691	254	1888	related
39678	254	2560	related
39690	254	2908	related
39662	254	3511	related
39688	254	3599	related
39663	254	3638	related
39697	254	4694	synonym
39669	254	6636	related
39692	254	8045	related
39685	254	10599	related
39674	254	15999	related
39675	254	28474	related
39684	254	52228	related
53271	255	96	synonym
53229	255	174	related
53233	255	210	related
53242	255	254	related
53248	255	267	related
53244	255	329	related
53210	255	346	related
53205	255	355	related
53241	255	362	related
53226	255	395	related
53227	255	397	related
53218	255	469	related
53220	255	549	related
53243	255	557	related
53219	255	664	related
53217	255	852	related
53203	255	931	related
53255	255	934	synonym
53231	255	1113	related
53209	255	1294	related
53208	255	1297	related
53236	255	1423	related
53234	255	1587	related
53238	255	1638	related
53239	255	1680	related
53249	255	1688	synonym
53230	255	1754	related
53261	255	1780	synonym
53212	255	2117	related
53263	255	2352	synonym
53250	255	2384	synonym
53237	255	2560	related
53206	255	2852	related
53246	255	2908	related
53215	255	3143	related
53245	255	3599	related
53251	255	3623	synonym
53213	255	4125	related
53222	255	4282	related
53214	255	4770	related
53254	255	5396	synonym
53225	255	5774	related
53228	255	6636	related
53267	255	6700	synonym
53269	255	7832	synonym
53260	255	8096	synonym
53258	255	8406	synonym
53201	255	9189	related
53262	255	9338	synonym
53268	255	10077	synonym
53200	255	10126	related
53259	255	11052	synonym
53257	255	12321	synonym
53266	255	13013	synonym
53223	255	13169	related
53264	255	13536	synonym
53270	255	14196	synonym
53232	255	14290	related
53247	255	14622	related
53265	255	14895	synonym
53252	255	15001	synonym
53204	255	16609	related
53256	255	17050	synonym
53207	255	22413	related
53253	255	22419	synonym
53224	255	23410	related
53211	255	42864	related
53221	255	55364	related
53202	255	57763	related
53235	255	57764	related
13890	256	1171	related
13893	256	1308	synonym
13892	256	11205	synonym
13891	256	15675	related
14943	257	1133	synonym
14945	257	1146	synonym
14947	257	1262	synonym
14939	257	3943	related
14940	257	4807	related
14938	257	8235	related
14944	257	8649	synonym
14946	257	12406	synonym
14941	257	15610	related
14942	257	32347	related
35234	258	16226	synonym
33313	261	1163	related
33312	261	9303	related
25430	262	209	related
25429	262	5268	related
25425	262	7095	related
25432	262	12368	related
25428	262	17355	related
25431	262	17607	related
25426	262	17905	related
25427	262	52449	related
2596	264	9	related
2581	264	4429	related
2582	264	4522	related
2594	264	5151	related
2595	264	19202	related
2583	264	19710	related
2586	264	29786	related
2587	264	31055	related
2589	264	35188	related
2591	264	35189	related
2592	264	37834	related
2584	264	50994	related
2585	264	50995	related
2588	264	50996	related
2590	264	50997	related
2593	264	50998	related
31257	265	697	synonym
31256	265	2441	synonym
31255	265	4350	synonym
31258	265	4982	synonym
31254	265	5656	synonym
46231	266	272	related
46232	266	468	related
46235	266	1745	related
46230	266	2043	related
46228	266	2609	related
46236	266	2820	related
46227	266	3695	related
46234	266	9797	related
46226	266	27296	related
46229	266	41920	related
46225	266	56403	related
46233	266	56404	related
51571	267	96	related
51587	267	164	related
51573	267	174	related
51581	267	210	related
51591	267	254	related
51593	267	329	related
51588	267	362	related
51572	267	397	related
51595	267	472	related
51592	267	557	related
51578	267	1113	related
51586	267	1423	related
51582	267	1587	related
51584	267	1638	related
51585	267	1680	related
51577	267	1754	related
51597	267	1888	related
51583	267	2560	related
51596	267	2908	related
51570	267	3178	related
51594	267	3599	related
51574	267	6636	related
51598	267	8045	related
51590	267	10599	related
51579	267	15999	related
51580	267	28474	related
51589	267	52228	related
41001	268	32352	related
2149	269	3170	synonym
2147	269	7736	synonym
2148	269	11018	synonym
46222	272	266	related
46221	272	2820	related
46219	272	4192	related
46217	272	4732	related
46220	272	10324	related
46218	272	48964	related
41940	274	843	related
41943	274	1491	synonym
41939	274	11416	related
41941	274	16333	related
41942	274	25021	related
41944	274	55627	synonym
38592	277	554	synonym
38591	277	2873	related
38590	277	54829	related
10273	281	121	synonym
10188	281	246	related
10219	281	813	related
10221	281	864	related
10245	281	1438	related
10231	281	1476	related
10249	281	1535	related
10225	281	1856	related
10265	281	2029	related
10242	281	2203	related
10251	281	2214	related
10264	281	2645	related
10229	281	2657	related
10239	281	2737	related
10240	281	3565	related
10216	281	3896	related
10223	281	4260	related
10248	281	4641	related
10241	281	4756	related
10222	281	5356	related
10256	281	8326	related
10215	281	9056	related
10274	281	9427	synonym
10258	281	10339	related
10209	281	11443	related
10247	281	11449	related
10267	281	12290	related
10218	281	12677	related
10253	281	13449	related
10261	281	13609	related
10275	281	13790	synonym
10213	281	14479	related
10198	281	14544	related
10210	281	17310	related
10272	281	18204	related
10260	281	18345	related
10259	281	18786	related
10212	281	19889	related
10232	281	19907	related
10204	281	20647	related
10257	281	20854	related
10224	281	21897	related
10194	281	22594	related
10228	281	26603	related
10263	281	28870	related
10193	281	29013	related
10255	281	29319	related
10211	281	32004	related
10206	281	34544	related
10189	281	35368	related
10191	281	35369	related
10230	281	37933	related
10233	281	42203	related
10246	281	44607	related
10190	281	51502	related
10192	281	51503	related
10195	281	51504	related
10196	281	51505	related
10197	281	51506	related
10199	281	51507	related
10200	281	51508	related
10201	281	51509	related
10202	281	51510	related
10203	281	51511	related
10205	281	51512	related
10207	281	51513	related
10208	281	51514	related
10214	281	51515	related
10217	281	51516	related
10220	281	51517	related
10226	281	51518	related
10227	281	51519	related
10234	281	51520	related
10235	281	51521	related
10236	281	51522	related
10237	281	51523	related
10238	281	51524	related
10244	281	51525	related
10250	281	51526	related
10252	281	51527	related
10254	281	51528	related
10266	281	51529	related
10268	281	51530	related
10269	281	51531	related
10270	281	51532	related
10271	281	51533	related
10276	281	51534	synonym
41384	283	211	synonym
41379	283	2317	related
41376	283	2568	related
41378	283	6432	related
41380	283	7399	related
41382	283	11498	related
41375	283	12904	related
41383	283	13302	related
41385	283	21540	synonym
41381	283	31511	related
41377	283	33148	related
27926	286	581	synonym
27925	286	3745	synonym
27924	286	5683	related
27922	286	20255	related
27923	286	21224	related
45213	287	125	related
48342	290	1743	related
48344	290	12420	related
48343	290	15063	related
48341	290	19323	related
34237	291	1352	related
34238	291	1815	related
34236	291	54358	related
4662	293	939	related
4661	293	1183	related
4660	293	2247	related
42374	299	1508	related
42373	299	25311	related
42375	299	32891	related
54213	300	300	related
54215	300	1310	related
54214	300	2919	related
54210	300	9267	related
54201	300	10136	related
54206	300	17424	related
54209	300	22111	related
54223	300	23990	related
54208	300	24472	related
54216	300	29849	related
54222	300	30962	related
54204	300	31116	related
54205	300	37544	related
54207	300	42038	related
54211	300	49753	related
54218	300	58001	related
54202	300	58002	related
54203	300	58003	related
54212	300	58004	related
54217	300	58005	related
54219	300	58006	related
54220	300	58007	related
54221	300	58008	related
54274	301	419	related
54275	301	3903	related
54276	301	55104	related
47681	302	3317	related
47682	302	12451	related
30486	303	10172	related
30485	303	41097	related
30487	303	53796	related
53640	304	12	synonym
53641	304	250	synonym
53651	304	309	synonym
53642	304	1419	synonym
53643	304	9536	synonym
53649	304	11795	synonym
53644	304	17346	synonym
53645	304	42316	synonym
53648	304	42545	synonym
53650	304	49221	synonym
53646	304	57863	synonym
53647	304	57864	synonym
30843	306	1513	related
30845	306	2017	related
30844	306	2121	related
30846	306	2143	related
30847	306	20092	related
33584	307	2535	synonym
33583	307	2692	synonym
49644	308	9365	related
49645	308	13445	related
32000	309	32535	related
40454	310	1940	related
40453	310	3713	related
40455	310	18083	related
40456	310	24999	synonym
29941	313	218	related
29942	313	218	synonym
29940	313	5519	related
29939	313	6425	related
29937	313	6822	related
29938	313	17937	related
48098	315	3122	related
52292	316	1104	related
52295	316	2858	related
52298	316	3980	related
52294	316	6058	related
52297	316	13187	related
52296	316	25533	related
52293	316	33589	related
46292	317	1086	related
46289	317	3322	related
46290	317	3976	related
46286	317	4197	related
46285	317	10452	related
46291	317	14804	related
46288	317	16578	related
46287	317	56410	related
3472	318	2709	related
3475	318	6510	related
3474	318	12134	related
3473	318	16888	related
29916	319	173	related
29920	319	315	related
29919	319	409	related
29918	319	2060	related
29917	319	3252	related
