iso639-2t,iso639-1,name,direction
doi,,Dogri,
dra,,Dravidian,
dsb,,Lower Sorbian,
dua,,Duala,
dum,,Middle Dutch,
dyu,,Dyula,
dzo,dz,Dzongkha,
efi,,Efik,
egy,,Ancient Egyptian,
eka,,Ekajuk,
ell,el,Modern Greek,
elx,,Elamite,
eng,en,English,
enm,,Middle English,
epo,eo,Esperanto,
est,et,Estonian,
eus,eu,Basque,
ewe,ee,Ewe,
ewo,,Ewondo,
fan,,Fang,
fao,fo,Faroese,
fas,fa,Persian,rtl
fat,,Fanti,
fij,fj,Fijian,
fil,,Filipino,
fin,fi,Finnish,
fiu,,Finno-Ugrian,
fon,,Fon,
fra,fr,French,
frm,,Middle French,
fro,,Old French,
frr,,Northern Frisian,
frs,,Eastern Frisian,
fry,fy,Western Frisian,
ful,ff,Fulah,rtl
fur,,Friulian,
gaa,,Ga,
gay,,Gayo,
gba,,Gbaya,
gem,,Germanic,
gez,,Geez,
gil,,Gilbertese,
gla,gd,Gaelic,
gle,ga,Irish,
glg,gl,Galician,
glv,gv,Manx,
gmh,,Middle High German,
goh,,Old High German,
gon,,Gondi,
gor,,Gorontalo,
got,,Gothic,
grb,,Grebo,
grc,,Ancient Greek,
grn,gn,Guarani,
gsw,,Swiss German,
guj,gu,Gujarati,
gwi,,Gwich'in,
hai,,Haida,
hat,ht,Haitian,
hau,ha,Hausa,
haw,,Hawaiian,
heb,he,Hebrew,rtl
her,hz,Herero,
hil,,Hiligaynon,
him,,Himachali,
hin,hi,Hindi,
hit,,Hittite,
hmn,,Hmong,
hmo,ho,Hiri Motu,
hrv,hr,Croatian,
hsb,,Upper Sorbian,
hun,hu,Hungarian,
hup,,Hupa,
hye,hy,Armenian,
iba,,Iban,
ibo,ig,Igbo,
ido,io,Ido,
iii,ii,Sichuan Yi,
ijo,,Ijo,
iku,iu,Inuktitut,
ile,ie,Interlingue,
ilo,,Iloko,
ina,ia,Interlingua,
inc,,Indic,
ind,id,Indonesian,
ine,,Indo-European,
inh,,Ingush,
ipk,ik,Inupiaq,
ira,,Iranian,
iro,,Iroquoian,
isl,is,Icelandic,
ita,it,Italian,
jav,jv,Javanese,
jbo,,Lojban,
jpn,ja,Japanese,
jpr,,Judeo-Persian,
jrb,,Judeo-Arabic,
kaa,,Kara-Kalpak,
kab,,Kabyle,
kac,,Kachin,
kal,kl,Kalaallisut,
kam,,Kamba,
kan,kn,Kannada,
kar,,Karen,
kas,ks,Kashmiri,
kat,ka,Georgian,
kau,kr,Kanuri,
kaw,,Kawi,
kaz,kk,Kazakh,
kbd,,Kabardian,
kha,,Khasi,
khi,,Khoisan,
khm,km,Central Khmer,
kho,,Khotanese,
kik,ki,Kikuyu,
kin,rw,Kinyarwanda,
kir,ky,Kirghiz,
kmb,,Kimbundu,
kok,,Konkani,
kom,kv,Komi,
kon,kg,Kongo,
kor,ko,Korean,
kos,,Kosraean,
kpe,,Kpelle,
krc,,Karachay-Balkar,
krl,,Karelian,
kro,,Kru,
kru,,Kurukh,
kua,kj,Kuanyama,
kum,,Kumyk,
kur,ku,Kurdish,rtl
kut,,Kutenai,
lad,,Ladino,
lah,,Lahnda,
lam,,Lamba,
lao,lo,Lao,
lat,la,Latin,
lav,lv,Latvian,
lez,,Lezghian,
lim,li,Limburgan,
lin,ln,Lingala,
lit,lt,Lithuanian,
lol,,Mongo,
loz,,Lozi,
ltz,lb,Luxembourgish,
lua,,Luba-Lulua,
lub,lu,Luba-Katanga,
lug,lg,Ganda,
lui,,Luiseno,
lun,,Lunda,
luo,,Luo,
lus,,Lushai,
mad,,Madurese,
mag,,Magahi,
mah,mh,Marshallese,
mai,,Maithili,
mak,,Makasar,
mal,ml,Malayalam,
man,,Mandingo,
map,,Austronesian,
mar,mr,Marathi,
mas,,Masai,
mdf,,Moksha,
mdr,,Mandar,
men,,Mende,
mga,,Middle Irish,
mic,,Mi'kmaq,
min,,Minangkabau,
mis,,Uncoded,
mkd,mk,Macedonian,
mkh,,Mon-Khmer,
mlg,mg,Malagasy,
mlt,mt,Maltese,
mnc,,Manchu,
mni,,Manipuri,
mno,,Manobo,
moh,,Mohawk,
mon,mn,Mongolian,
mos,,Mossi,
mri,mi,Maori,
msa,ms,Malay,
mul,,Multiple,
mun,,Munda,
mus,,Creek,
mwl,,Mirandese,
mwr,,Marwari,
mya,my,Burmese,
myn,,Mayan,
myv,,Erzya,
nah,,Nahuatl,
nai,,North American Indian,
nap,,Neapolitan,
nau,na,Nauru,
nav,nv,Navajo,
nbl,nr,South Ndebele,
nde,nd,North Ndebele,
ndo,ng,Ndonga,
nds,,Low German,
nep,ne,Nepali,
new,,Nepal Bhasa,
nia,,Nias,
nic,,Niger-Kordofanian,
niu,,Niuean,
nld,nl,Dutch,
nno,nn,Norwegian Nynorsk,
nob,nb,Norwegian Bokmål,
nog,,Nogai,
non,,Old Norse,
nor,no,Norwegian,
nqo,,N'Ko,rtl
nso,,Pedi,
nub,,Nubian,
nwc,,Classical Newari,
nya,ny,Chichewa,
nym,,Nyamwezi,
nyn,,Nyankole,
nyo,,Nyoro,
nzi,,Nzima,
oci,oc,Occitan,
oji,oj,Ojibwa,
ori,or,Oriya,
orm,om,Oromo,
osa,,Osage,
oss,os,Ossetian,
ota,,Ottoman Turkish,
oto,,Otomian,
paa,,Papuan,
pag,,Pangasinan,
pal,,Pahlavi,
pam,,Pampanga,
pan,pa,Panjabi,
pap,,Papiamento,
pau,,Palauan,
peo,,Old Persian,rtl
phi,,Philippine,
phn,,Phoenician,
pli,pi,Pali,
pol,pl,Polish,
pon,,Pohnpeian,
por,pt,Portuguese,
pra,,Prakrit,
pro,,Old Provençal,
pus,ps,Pushto,
que,qu,Quechua,
raj,,Rajasthani,
rap,,Rapanui,
rar,,Rarotongan,
roa,,Romance,
roh,rm,Romansh,
rom,,Romany,
ron,ro,Romanian,
run,rn,Rundi,
rup,,Aromanian,
rus,ru,Russian,
sad,,Sandawe,
sag,sg,Sango,
sah,,Yakut,
sai,,South American Indian,
sal,,Salishan,
sam,,Samaritan Aramaic,rtl
san,sa,Sanskrit,
sas,,Sasak,
sat,,Santali,
scn,,Sicilian,
sco,,Scots,
sel,,Selkup,
sem,,Semitic,
sga,,Old Irish,
sgn,,Sign,
shn,,Shan,
sid,,Sidamo,
sin,si,Sinhala,
sio,,Siouan,
sit,,Sino-Tibetan,
sla,,Slavic,
slk,sk,Slovak,
slv,sl,Slovenian,
sma,,Southern Sami,
sme,se,Northern Sami,
smi,,Sami,
smj,,Lule Sami,
smn,,Inari Sami,
smo,sm,Samoan,
sms,,Skolt Sami,
sna,sn,Shona,
snd,sd,Sindhi,
snk,,Soninke,
sog,,Sogdian,
som,so,Somali,
son,,Songhai,
sot,st,Southern Sotho,
spa,es,Spanish,
sqi,sq,Albanian,
srd,sc,Sardinian,
srn,,Sranan Tongo,
srp,sr,Serbian,
srr,,Serer,
ssa,,Nilo-Saharan,
ssw,ss,Swati,
suk,,Sukuma,
sun,su,Sundanese,
sus,,Susu,
sux,,Sumerian,
swa,sw,Swahili,
swe,sv,Swedish,
syc,,Classical Syriac,rtl
syr,,Syriac,rtl
tah,ty,Tahitian,
tai,,Tai,
tam,ta,Tamil,
tat,tt,Tatar,
tel,te,Telugu,
tem,,Timne,
ter,,Tereno,
tet,,Tetum,
tgk,tg,Tajik,
tgl,tl,Tagalog,
tha,th,Thai,
tig,,Tigre,
tir,ti,Tigrinya,
tiv,,Tiv,
tkl,,Tokelau,
tlh,,Klingon,
tli,,Tlingit,
tmh,,Tamashek,
tog,,Tonga (Nyasa),
ton,to,Tonga (Tonga Islands),
tpi,,Tok Pisin,
tsi,,Tsimshian,
tsn,tn,Tswana,
tso,ts,Tsonga,
tuk,tk,Turkmen,
tum,,Tumbuka,
tup,,Tupi,
tur,tr,Turkish,
tut,,Altaic,
tvl,,Tuvalu,
twi,tw,Twi,
tyv,,Tuvinian,
udm,,Udmurt,
uga,,Ugaritic,
uig,ug,Uighur,
ukr,uk,Ukrainian,
umb,,Umbundu,
und,,Undetermined,
urd,ur,Urdu,rtl
uzb,uz,Uzbek,
vai,,Vai,
ven,ve,Venda,
vie,vi,Vietnamese,
vol,vo,Volapük,
vot,,Votic,
wak,,Wakashan,
wal,,Wolaitta,
war,,Waray,
was,,Washo,
wen,,Sorbian,
wln,wa,Walloon,
wol,wo,Wolof,
xal,,Kalmyk,
xho,xh,Xhosa,
yao,,Yao,
yap,,Yapese,
yid,yi,Yiddish,
yor,yo,Yoruba,
ypk,,Yupik,
zap,,Zapotec,
zbl,,Blissymbols,
zen,,Zenaga,
zgh,,Standard Moroccan Tamazight,
zha,za,Zhuang,
zho,zh,Chinese,
znd,,Zande,
zul,zu,Zulu,
zun,,Zuni,
zza,,Zaza,
